                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85219,                 4.3714,                 1.3202,                      0,                      0,                      0,                      0,                0.48283,                  4.841,                 1.0794,             0.00010323,             0.00010323,             0.00010323
                      2,                 0.7116,                 3.9933,                 1.2157,                0.04444,                0.85531,                0.18612,                0.17025,                0.46536,                 4.3747,                 1.0418,             0.00020875,             0.00020875,             0.00020875
                      3,                0.71382,                 3.6109,                 1.2265,                0.48912,                0.23055,                0.26586,                0.22381,                0.59025,                 4.0598,                 1.1675,             0.00031322,             0.00031322,             0.00031322
                      4,                0.74824,                  3.328,                  1.236,                0.32534,                0.35025,                0.32457,                0.27427,                0.63632,                 3.9405,                 1.1952,             0.00032805,             0.00032805,             0.00032805
                      5,                 0.7397,                 3.0852,                 1.2531,                0.35655,                0.51945,                0.41221,                0.35837,                0.56109,                 3.4862,                 1.1274,             0.00032641,             0.00032641,             0.00032641
                      6,                0.71732,                 2.9648,                 1.2094,                0.38282,                0.53606,                0.44615,                0.38187,                0.57972,                 3.4015,                 1.1581,             0.00032476,             0.00032476,             0.00032476
                      7,                0.71456,                 2.8369,                 1.2103,                0.61129,                0.51861,                0.48471,                0.42339,                0.56872,                 3.5521,                 1.1292,             0.00032311,             0.00032311,             0.00032311
                      8,                0.68455,                 2.6379,                  1.161,                0.56428,                0.51349,                0.52235,                 0.4627,                0.53188,                 3.5608,                 1.0911,             0.00032146,             0.00032146,             0.00032146
                      9,                0.69044,                 2.5688,                  1.196,                0.50571,                0.67069,                0.62767,                0.55406,                0.53376,                 2.8209,                 1.0864,             0.00031981,             0.00031981,             0.00031981
                     10,                  0.668,                 2.4924,                 1.1747,                0.63265,                0.59669,                0.66735,                0.59701,                 0.5104,                 2.6918,                 1.0732,             0.00031816,             0.00031816,             0.00031816
                     11,                 0.6825,                 2.4097,                 1.1615,                0.40595,                0.69004,                0.65282,                0.57422,                  0.523,                  2.712,                 1.0703,             0.00031652,             0.00031652,             0.00031652
                     12,                0.66641,                 2.3252,                 1.1625,                0.46502,                0.71669,                0.66892,                0.59876,                0.53136,                 2.5553,                 1.0913,             0.00031487,             0.00031487,             0.00031487
                     13,                0.64866,                 2.1922,                 1.1418,                0.46739,                 0.7227,                0.71891,                0.64242,                0.49379,                 2.4948,                 1.0507,             0.00031322,             0.00031322,             0.00031322
                     14,                0.61069,                  2.121,                 1.1139,                0.62144,                 0.7566,                0.78472,                0.70648,                0.51433,                 2.2444,                 1.0785,             0.00031157,             0.00031157,             0.00031157
                     15,                 0.6076,                  2.059,                  1.114,                0.61805,                0.61846,                0.72106,                 0.6491,                0.53223,                 2.4125,                 1.0818,             0.00030992,             0.00030992,             0.00030992
