                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.52283,                 1.3084,                 1.0653,                0.84778,                0.80765,                0.91255,                0.85741,                0.41039,                 1.4501,                0.97342,             0.00010882,             0.00010882,             0.00010882
                     36,                0.48365,                 1.2293,                 1.0394,                0.86644,                0.82635,                0.91396,                0.85905,                0.40198,                 1.3861,                0.97635,             0.00010223,             0.00010223,             0.00010223
                     37,                0.49524,                  1.224,                 1.0328,                0.84624,                0.85972,                0.91472,                0.85805,                0.39705,                 1.3419,                0.96922,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     38,                0.53063,                 1.2707,                 1.0553,                0.88503,                 0.8392,                 0.9258,                0.86248,                0.39335,                 1.3309,                0.96396,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     39,                 0.5035,                 1.1897,                 1.0421,                0.88817,                0.84169,                0.93399,                0.87341,                0.39447,                  1.336,                0.96668,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     40,                0.47739,                 1.1695,                 1.0325,                0.91991,                0.82535,                0.93155,                0.87465,                0.38302,                 1.3481,                0.95293,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     41,                0.31324,                 1.1019,                0.91217,                0.87317,                0.82183,                0.92655,                0.85173,                0.44451,                 1.5788,                 1.0013,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     42,                0.29747,                 1.0543,                0.90125,                0.88492,                0.86942,                0.93704,                0.87659,                0.39297,                 1.2653,                 0.9574,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     43,                0.27613,                 1.0116,                0.87034,                 0.9005,                 0.8576,                0.93429,                0.87342,                0.38953,                 1.3469,                0.95138,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     44,                0.27473,                0.96584,                0.87375,                0.90297,                0.87369,                0.92955,                0.87048,                0.38377,                   1.27,                0.94206,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     45,                0.27277,                0.95796,                 0.8749,                0.88365,                0.86279,                0.93628,                0.87618,                0.37247,                  1.287,                 0.9379,              4.289e-05,              4.289e-05,              4.289e-05
                     46,                0.27343,                0.95287,                0.88029,                0.89958,                  0.869,                0.93282,                0.87499,                0.37359,                 1.2304,                0.93508,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     47,                 0.2674,                0.94018,                0.88469,                0.91262,                0.86436,                0.93406,                0.88252,                0.37209,                 1.2185,                0.93761,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     48,                0.25667,                0.91612,                0.86262,                0.91785,                0.85913,                0.93795,                0.88758,                0.37272,                  1.211,                0.93859,              2.311e-05,              2.311e-05,              2.311e-05
                     49,                0.26016,                0.91144,                0.87066,                0.91964,                0.85705,                0.94205,                0.88813,                0.36965,                 1.1986,                0.93558,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     50,                0.25727,                0.91877,                0.87554,                0.92775,                0.84614,                 0.9404,                0.88635,                0.36892,                 1.1892,                0.93501,             9.9234e-06,             9.9234e-06,             9.9234e-06
