                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85219,                 4.3714,                 1.3202,                      0,                      0,                      0,                      0,                0.48283,                  4.841,                 1.0794,             0.00010323,             0.00010323,             0.00010323
                      2,                 0.7116,                 3.9933,                 1.2157,                0.04444,                0.85531,                0.18612,                0.17025,                0.46536,                 4.3747,                 1.0418,             0.00020875,             0.00020875,             0.00020875
                      3,                0.71382,                 3.6109,                 1.2265,                0.48912,                0.23055,                0.26586,                0.22381,                0.59025,                 4.0598,                 1.1675,             0.00031322,             0.00031322,             0.00031322
